epoch,train_loss,val_loss,IoU,IoU_bg,Precision,Recall,F1,Accuracy,grad_norm,lr
1,0.609357,0.585757,0.011311,0.991611,0.020177,0.025095,0.022369,0.991612,0.2504,9.97e-05
2,0.563120,0.557244,0.015069,0.965860,0.016657,0.136529,0.029691,0.965877,0.2250,9.89e-05
3,0.531717,0.535840,0.034222,0.989005,0.049013,0.101851,0.066178,0.989009,0.2170,9.76e-05
4,0.505792,0.522601,0.036973,0.993428,0.077596,0.065965,0.071309,0.993430,0.2185,9.57e-05
5,0.477858,0.511972,0.044249,0.990739,0.068133,0.112082,0.084748,0.990743,0.2507,9.33e-05
6,0.451865,0.505204,0.036504,0.992606,0.067837,0.073243,0.070436,0.992608,0.2884,9.05e-05
7,0.425236,0.499222,0.038629,0.993791,0.086530,0.065229,0.074384,0.993792,0.3572,8.72e-05
8,0.394540,0.495317,0.034809,0.994292,0.089697,0.053824,0.067276,0.994293,0.4316,8.35e-05
9,0.366283,0.493710,0.028159,0.995195,0.110600,0.036402,0.054775,0.995196,0.4816,7.94e-05
10,0.340656,0.493308,0.022928,0.995345,0.104105,0.028564,0.044828,0.995345,0.5585,7.50e-05
11,0.320859,0.492473,0.021963,0.995545,0.120414,0.026160,0.042982,0.995545,0.5653,7.03e-05
12,0.302035,0.493824,0.016141,0.995594,0.099451,0.018904,0.031768,0.995594,0.5816,6.55e-05
13,0.285440,0.491685,0.020447,0.995845,0.171952,0.022680,0.040074,0.995845,0.6056,6.04e-05
14,0.274808,0.489220,0.024088,0.995522,0.126307,0.028904,0.047043,0.995522,0.5884,5.52e-05
15,0.264917,0.492418,0.016187,0.995673,0.110309,0.018618,0.031859,0.995673,0.5656,5.00e-05
16,0.257189,0.493993,0.012548,0.995861,0.125125,0.013755,0.024785,0.995861,0.5626,4.48e-05
